,Heading,Authors,Summary,Link
15,A new Majorana platform in an Fe-As bilayer superconductor,Wenyao Liu; Lu Cao; Shiyu Zhu; Lingyuan Kong; Guangwei Wang; Michal Papaj; Peng Zhang; Yabin Liu; Hui Chen; Geng Li; Fazhi Yang; Takeshi Kondo; Shixuan Du; Guanghan Cao; Shik Shin; Liang Fu; Zhiping Yin; Hong-Jun Gao; Hong Ding,"Recently, iron-chalcogenide superconductors have emerged as a new and promising platform for studying and manipulating Majorana zero mode (MZM). By combining topological band structure and superconductivity in a multiband material, they provide significant advantages such as higher superconducting transition temperature (Tc) and isolated Majorana mode. However, iron-chalcogenide superconductors, e…
        ▽ More",https://arxiv.org/abs/1907.00904
16,Landscape Theory for Schrödinger Operators with General Hopping Terms on a Finite Lattice,John Buhl; Isaac Cinzori; Isabella Ginnett; Mark Landry; Yikang Li; Xingyan Liu,"Findings by M. L. Lyra, S. Mayboroda and M. Filoche relate invertibility and positivity of a class of discrete Schrödinger matrices with the existence of the ``Landscape Function'', which provides an upper bound on all eigenvectors simultaneously. Their argument is based…
        ▽ More",https://arxiv.org/abs/1907.00808
17,An Improved Evaluation of the Neutron Background in the PandaX-II Experiment,Qiuhong Wang; Abdusalam Abdukerim; Wei Chen; Xun Chen; Yunhua Chen; Xiangyi Cui; Yingjie Fan; Deqing Fang; Changbo Fu; Lisheng Geng; Karl Giboni; Franco Giuliani; Linhui Gu; Xuyuan Guo; Ke Han; Changda He; Di Huang; Yan Huang; Yanlin Huang; Zhou Huang; Peng Ji; Xiangdong Ji; Yonglin Ju; Yihui Lai; Kun Liang  ; et al. (38 additional authors not shown),"In dark matter direct detection experiments, neutron is a serious source of background, which can mimic the dark matter-nucleus scattering signals. In this paper, we present an improved evaluation of the neutron background in the PandaX-II dark matter experiment by a novel approach. Instead of fully relying on the Monte Carlo simulation, the overall neutron background is determined from the neutro…
        ▽ More",https://arxiv.org/abs/1907.00545
18,Mismatched Guesswork,Salman Salamatian; Litian Liu; Ahmad Beirami; Muriel Médard,"We study the problem of mismatched guesswork, where we evaluate the number of symbols $y \in \mathcal{Y}$ which have higher likelihood than $X \sim μ$ according to a mismatched distribution $ν$. We discuss the role of the tilted/exponential families of the source distribution $μ$ and of the mismatched distribution $ν$. We show that the value of guesswork can be characterized using the tilted famil…
        ▽ More",https://arxiv.org/abs/1907.00531
19,Deep Gamblers: Learning to Abstain with Portfolio Theory,Liu Ziyin; Zhikang Wang; Paul Pu Liang; Ruslan Salakhutdinov; Louis-Philippe Morency; Masahito Ueda,"…(supervised-learning problem with a rejection option), where we want to achieve the best performance at a certain level of coverage of the data. We transform the original $m$-class classification problem to $(m+1)$-class where the $(m+1)$-th class represents the model abstaining…
        ▽ More",https://arxiv.org/abs/1907.00208
20,On orbit performance of the GRACE Follow-On Laser Ranging Interferometer,Klaus Abich; Claus Braxmaier; Martin Gohlke; Josep Sanjuan; Alexander Abramovici; Brian Bachman Okihiro; David C. Barr; Maxime P. Bize; Michael J. Burke; Ken C. Clark; Glenn de Vine; Jeffrey A. Dickson; Serge Dubovitsky; William M. Folkner; Samuel Francis; Martin S. Gilbert; Mark Katsumura; William Klipstein; Kameron Larsen; Carl Christian Liebe; Jehhal Liu; Kirk McKenzie; Phillip R. Morton; Alexander T. Murray; Don J. Nguyen  ; et al. (58 additional authors not shown),"The Laser Ranging Interferometer (LRI) instrument on the Gravity Recovery and Climate Experiment (GRACE) Follow-On mission has provided the first laser interferometric range measurements between remote spacecraft, separated by approximately 220 km. Autonomous controls that lock the laser frequency to a cavity reference and establish the 5 degree of freedom two-way laser link between remote spacecr…
        ▽ More",https://arxiv.org/abs/1907.00104
21,Search for gravitational waves from Scorpius X-1 in the second Advanced LIGO observing run with an improved hidden Markov model, The LIGO Scientific Collaboration;  the Virgo Collaboration; B. P. Abbott; R. Abbott; T. D. Abbott; S. Abraham; F. Acernese; K. Ackley; C. Adams; R. X. Adhikari; V. B. Adya; C. Affeldt; M. Agathos; K. Agatsuma; N. Aggarwal; O. D. Aguiar; L. Aiello; A. Ain; P. Ajith; G. Allen; A. Allocca; M. A. Aloy; P. A. Altin; A. Amato; A. Ananyeva  ; et al. (1112 additional authors not shown),"We present results from a semicoherent search for continuous gravitational waves from the low-mass X-ray binary Scorpius X-1, using a hidden Markov model (HMM) to track spin wandering. This search improves on previous HMM-based searches of LIGO data by using an improved frequency domain matched filter, the $\mathcal{J}$-statistic, and by analysing data from Advanced LIGO's second observing run. In…
        ▽ More",https://arxiv.org/abs/1906.12040
22,"$DK$, $DDK$, and $DDDK$ molecules--understanding the nature of the $D_{s0}^*(2317)$",Tian-Wei Wu; Ming-Zhu Liu; Li-Sheng Geng; Emiko Hiyama; Manuel Pavon Valderrama,"The $DK$ interaction is strong enough to form a bound state, the $D_{s0}^*(2317)$. This in turn begs the question of whether there are bound states composed of several charmed mesons and a kaon. Previous calculations indicate that the three-body $DDK$ system is probably bound, where the quantum numbers are $J^P = 0^{-}$, $I=\tfrac{1}{2}$, $S = 1$ and $C = 2$. The minimum quark content of this stat…
        ▽ More",https://arxiv.org/abs/1906.11995
23,Searching for Neutrino-less Double Beta Decay of $^{136}$Xe with PandaX-II Liquid Xenon Detector,Kaixiang Ni; Yihui Lai; Abdusalam Abdukerim; Wei Chen; Xun Chen; Yunhua Chen; Xiangyi Cui; Yingjie Fan; Deqing Fang; Changbo Fu; Lisheng Geng; Karl Giboni; Franco Giuliani; Linhui Gu; Xuyuan Guo; Ke Han; Changda He; Di Huang; Yan Huang; Yanlin Huang; Zhou Huang; Peng Ji; Xiangdong Ji; Yonglin Ju; Kun Liang  ; et al. (38 additional authors not shown),"We report the Neutrino-less Double Beta Decay (NLDBD) search results from PandaX-II dual-phase liquid xenon time projection chamber. The total live time used in this analysis is 403.1 days from June 2016 to August 2018. With NLDBD-optimized event selection criteria, we obtain a fiducial mass of 219 kg of natural xenon. The accumulated xenon exposure is 242 kg$\cdot$yr, or equivalently 22.2 kg…
        ▽ More",https://arxiv.org/abs/1906.11457
24,Using Markov chains to determine expected propagation time for probabilistic zero forcing,Yu Chan; Emelie Curl; Jesse Geneson; Leslie Hogben; Kevin Liu; Issac Odegard; Michael S. Ross,"Zero forcing is a coloring game played on a graph where each vertex is initially colored blue or white and the goal is to color all the vertices blue by repeated use of a (deterministic) color change rule starting with as few blue vertices as possible. Probabilistic zero forcing yields a discrete dynamical system governed by a Markov chain. Since in a connected graph any one vertex can eventually…
        ▽ More",https://arxiv.org/abs/1906.11083
25,Presolar Silicon Carbide Grains of Types Y and Z: Their Molybdenum Isotopic Compositions and Stellar Origins,Nan Liu; Thomas Stephan; Sergio Cristallo; Roberto Gallino; Patrick Boehnke; Larry R. Nittler; Conel M. O. 'D. Alexander; Andrew M. Davis; Reto Trappitsch; Michael J. Pellin; Iris Dillmann,"We report Mo isotopic compositions of 37 presolar SiC grains of types Y (19) and Z (18), rare types commonly argued to have formed in lower-than-solar metallicity asymptotic giant branch (AGB) stars. Direct comparison of the Y and Z grain data with data for mainstream grains from AGB stars of close-to-solar metallicity demonstrates that the three types of grains have indistinguishable Mo isotopic…
        ▽ More",https://arxiv.org/abs/1906.10776
26,"Machine Learning Testing: Survey, Landscapes and Horizons",Jie M. Zhang; Mark Harman; Lei Ma; Yang Liu,"This paper provides a comprehensive survey of Machine Learning Testing (ML testing) research. It covers 128 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper…
        ▽ More",https://arxiv.org/abs/1906.10742
27,On the relation between transition region network jets and coronal plumes,Youqian Qi; Zhenghua Huang; Lidong Xia; Bo Li; Hui Fu; Weixin Liu; Mingzhe Sun; Zhenyong Hou,"Both coronal plumes and network jets are rooted in network lanes. The relationship between the two, however, has yet to be addressed. For this purpose, we perform an observational analysis using images acquired with the Atmospheric Imaging Assembly (AIA) 171Å passband to follow the evolution of coronal plumes, the observations taken by the Interface Region Imaging Spectrograph (IRIS) slit-jaw 1330…
        ▽ More",https://arxiv.org/abs/1906.10353
28,Search for the decay $η'\toγγη$,M. Ablikim; M. N. Achasov; P. Adlarson; S. Ahmed; M. Albrecht; M. Alekseev; A. Amoroso; F. F. An; Q. An; Y. Bai; O. Bakina; R. Baldini Ferroli; I. Balossino; Y. Ban; K. Begzsuren; J. V. Bennett; N. Berger; M. Bertani; D. Bettoni; F. Bianchi; J Biernat; J. Bloms; I. Boyko; R. A. Briere; H. Cai  ; et al. (461 additional authors not shown),"Using a data sample of $1.31\times10^{9} ~J/ψ$ events collected with the BESIII detector, a search for $η'\toγγη$ via $J/ψ\toγη'$ is performed for the first time. No significant $η'$ signal is observed in the $γγη$ invariant mass spectrum, and the %upper limit of the branching fraction of $η'\toγγη$ is determined to be less than $1.33 \times 10^{-4}$ at the 90$\%$ confidence level.",https://arxiv.org/abs/1906.10346
29,Yukawa Hierarchies in Global F-theory Models,Mirjam Cvetic; Ling Lin; Muyang Liu; Hao Y. Zhang; Gianluca Zoccarato,"We argue that global F-theory compactifications to four dimensions generally exhibit higher rank Yukawa matrices from multiple geometric contributions known as Yukawa points. The holomorphic couplings furthermore have large hierarchies for generic complex structure moduli. Unlike local considerations, the compact setup realizes these features all through geometry, and requires no instanton correct…
        ▽ More",https://arxiv.org/abs/1906.10119
30,Experimental Measurement-Device-Independent Certification of Non-Entanglement-Breaking Channels,Yingqiu Mao; Yi-Zheng Zhen; Hui Liu; Mi Zou; Qi-Jie Tang; Si-Jie Zhang; Jian Wang; Hao Liang; Weijun Zhang; Hao Li; Lixing You; Zhen Wang; Li Li; Nai-Le Liu; Kai Chen; Teng-Yun Chen; Jian-Wei Pan,"As a crucial ingredient for quantum information tasks, non-entanglement-breaking (non-EB) channels can maintain entanglement for distributing and storing quantum states. Previous methods to test non-EB channels either require an unjustified assumption of fully trusted measurements, or verify correlations inequivalent to entanglement. Here, we demonstrate a measurement-device-independent certificat…
        ▽ More",https://arxiv.org/abs/1906.09984
31,Nuclear-modification factor of charged hadrons at forward and backward rapidity in $p$$+$Al and $p$$+$Au collisions at $\sqrt{s_{_{NN}}}=200$ GeV,C. Aidala; Y. Akiba; M. Alfred; V. Andrieux; N. Apadula; H. Asano; B. Azmoun; V. Babintsev; N. S. Bandara; K. N. Barish; S. Bathe; A. Bazilevsky; M. Beaumier; R. Belmont; A. Berdnikov; Y. Berdnikov; D. S. Blau; J. S. Bok; M. L. Brooks; J. Bryslawskyj; V. Bumazhnov; S. Campbell; V. Canoa Roman; R. Cervantes; C. Y. Chi  ; et al. (278 additional authors not shown),The PHENIX experiment has studied nuclear effects in $p$$+$Al and $p$$+$Au collisions at $\sqrt{s_{_{NN}}}=200$ GeV on charged hadron production at forward rapidity ($1.4▽ More,https://arxiv.org/abs/1906.09928
32,Quantum teleportation in high dimensions,Yi-Han Luo; Han-Sen Zhong; Manuel Erhard; Xi-Lin Wang; Li-Chao Peng; Mario Krenn; Xiao Jiang; Li Li; Nai-Le Liu; Chao-Yang Lu; Anton Zeilinger; Jian-Wei Pan,"Precise measurement or perfect cloning of unknown quantum states is forbidden by the laws of quantum mechanics. Yet, quantum teleportation in principle allows for a faithful and disembodied transmission of unknown quantum states between distant quantum systems using entanglement. There have been numerous experiments on teleportation of quantum states of single photons, atoms, trapped ions, defects…
        ▽ More",https://arxiv.org/abs/1906.09697
33,Neural Collective Entity Linking Based on Recurrent Random Walk Network Learning,Mengge Xue; Weiming Cai; Jinsong Su; Linfeng Song; Yubin Ge; Yubao Liu; Bin Wang,"Benefiting from the excellent ability of neural networks on learning semantic representations, existing studies for entity linking (EL) have resorted to neural networks to exploit both the local mention-to-entity compatibility and the global interdependence between different EL decisions for target entity disambiguation. However, most neural collective EL methods depend entirely upon neural networ…
        ▽ More",https://arxiv.org/abs/1906.09320
34,Beam-energy dependence of identified two-particle angular correlations in Au+Au collisions at RHIC, STAR Collaboration; J. Adam; L. Adamczyk; J. R. Adams; J. K. Adkins; G. Agakishiev; M. M. Aggarwal; Z. Ahammed; I. Alekseev; D. M. Anderson; R. Aoyama; A. Aparin; E. C. Aschenauer; M. U. Ashraf; F. Atetalla; A. Attri; G. S. Averichev; V. Bairathi; K. Barish; A. J. Bassill; A. Behera; R. Bellwied; A. Bhasin; A. K. Bhati; J. Bielcik  ; et al. (325 additional authors not shown),"The two-particle angular correlation functions, $R_2$, of pions, kaons, and protons in Au+Au collisions at $\sqrt{s_{NN}}=$ 7.7, 11.5, 14.5, 19.6, 27, 39, 62.4, and 200 GeV were measured by the STAR experiment at RHIC. These correlations were measured for both like-sign and unlike-sign charge combinations and versus the centrality. The correlations of pions and kaons show the expected near-side ({…
        ▽ More",https://arxiv.org/abs/1906.09204
35,Identifying the magnetospheric driver of STEVE,Xiangning Chu; David Malaspina; Bea Gallardo-Lacourt; Jun Liang; Laila Andersson; Qianli Ma; Anton Artemyev; Jiang Liu; Bob Ergun; Scott Thaller; Hassanali Akbari; Hong Zhao; Brian Larsen; Geoffrey Reeves; John Wygant; Aaron Breneman; Sheng Tian; Martin Connors; Eric Donovan; William Archer; Elizabeth A. MacDonald,"For the first time, we identify the magnetospheric driver of STEVE, east-west aligned narrow emissions in the subauroral region. In the ionosphere, STEVE is associated with subauroral ion drift (SAID) features of high electron temperature peak, density gradient, and strong westward ion flow. In this study, we present STEVE's magnetospheric driver region at a sharp plasmapause containing: strong ta…
        ▽ More",https://arxiv.org/abs/1906.08886
36,Investment Ranking Challenge: Identifying the best performing stocks based on their semi-annual returns,Shanka Subhra Mondal; Sharada Prasanna Mohanty; Benjamin Harlander; Mehmet Koseoglu; Lance Rane; Kirill Romanov; Wei-Kai Liu; Pranoot Hatwar; Marcel Salathe; Joe Byrum,"In the IEEE Investment ranking challenge 2018, participants were asked to build a model which would identify the best performing stocks based on their returns over a forward six months window. Anonymized financial predictors and semi-annual returns were provided for a group of anonymized stocks from 1996 to 2017, which were divided into 42 non-overlapping six months period. The second half of 2017…
        ▽ More",https://arxiv.org/abs/1906.08636
37,Robust Machine Translation with Domain Sensitive Pseudo-Sources: Baidu-OSU WMT19 MT Robustness Shared Task System Report,Renjie Zheng; Hairong Liu; Mingbo Ma; Baigong Zheng; Liang Huang,"This paper describes the machine translation system developed jointly by Baidu Research and Oregon State University for WMT 2019 Machine Translation Robustness Shared Task. Translation of social media is a very challenging problem, since its style is very different from normal parallel corpora (e.g. News) and also include various types of noises. To make it worse, the amount of social media parall…
        ▽ More",https://arxiv.org/abs/1906.08393
38,Long-range interactions in Weyl photonic crystals,Lei Ying; Ming Zhou; Michael Mattei; Boyuan Liu; Paul Campagnola; Randall H. Goldsmith; Zongfu Yu,"The interaction between quantum two-level systems is typically short-range in free space and most photonic environments. Here we show that Weyl photonic crystals can create significantly extended long-range interaction between distant quantum systems because of their diminishing momentum isosurfaces with equal frequencies around isolated Weyl points. The extended range of interaction is robust and…
        ▽ More",https://arxiv.org/abs/1906.08389
39,Updated measurement of time-dependent {\it CP}-violating observables in $B^{0}_{s}\to J/ψK^+ K^-$ decays, LHCb collaboration; R. Aaij; C. Abellán Beteta; T. Ackernley; B. Adeva; M. Adinolfi; H. Afsharnia; C. A. Aidala; S. Aiola; Z. Ajaltouni; S. Akar; P. Albicocco; J. Albrecht; F. Alessio; M. Alexander; A. Alfonso Albero; G. Alkhazov; P. Alvarez Cartelle; A. A. Alves Jr; S. Amato; Y. Amhis; L. An; L. Anderlini; G. Andreassi; M. Andreotti  ; et al. (892 additional authors not shown),"The decay-time-dependent {\it CP} asymmetry in $B^{0}_{s}\to J/ψK^{+} K^{-}$ decays is measured using proton-proton collision data, corresponding to an integrated luminosity of $1.9\,\mathrm{fb^{-1}}$, collected with the LHCb detector at a centre-of-mass energy of $13\,\mathrm{TeV}$ in 2015 and 2016. Using a sample of approximately 117\,000 signal decays with an invariant $K^{+} K^{-}$ mass in the…
        ▽ More",https://arxiv.org/abs/1906.08356
40,"Precision measurement of the $Λ_c^+$, $Ξ_c^+$ and $Ξ_c^0$ baryon lifetimes", LHCb collaboration; R. Aaij; C. Abellán Beteta; B. Adeva; M. Adinolfi; C. A. Aidala; Z. Ajaltouni; S. Akar; P. Albicocco; J. Albrecht; F. Alessio; M. Alexander; A. Alfonso Albero; G. Alkhazov; P. Alvarez Cartelle; A. A. Alves Jr; S. Amato; Y. Amhis; L. An; L. Anderlini; G. Andreassi; M. Andreotti; J. E. Andrews; F. Archilli; J. Arnau Romeu  ; et al. (827 additional authors not shown),"We report measurements of the lifetimes of the $Λ_c^+$, $Ξ_c^+$ and $Ξ_c^0$ charm baryons using proton-proton collision data at center-of-mass energies of 7 and 8\tev, corresponding to an integrated luminosity of 3.0 fb$^{-1}$, collected by the LHCb experiment. The charm baryons are reconstructed through the decays $Λ_c^+\to pK^-π^+$, $Ξ_c^+\to pK^-π^+$ and $Ξ_c^0\to pK^-K^-π^+$, and originate fro…
        ▽ More",https://arxiv.org/abs/1906.08350
41,Measurement of $C\!P$ observables in the process $B^0 \to DK^{*0}$ with two- and four-body $D$ decays, LHCb collaboration; R. Aaij; C. Abellán Beteta; B. Adeva; M. Adinolfi; C. A. Aidala; Z. Ajaltouni; S. Akar; P. Albicocco; J. Albrecht; F. Alessio; M. Alexander; A. Alfonso Albero; G. Alkhazov; P. Alvarez Cartelle; A. A. Alves Jr; S. Amato; Y. Amhis; L. An; L. Anderlini; G. Andreassi; M. Andreotti; J. E. Andrews; F. Archilli; J. Arnau Romeu  ; et al. (857 additional authors not shown),"Measurements of $C\!P$ observables in $B^0 \to DK^{*0}$ decays are presented, where $D$ represents a superposition of $D^0$ and $\bar{D}^0$ states. The $D$ meson is reconstructed in the two-body final states $K^+π^-$, $π^+ K^-$, $K^+K^-$ and $π^+π^-$, and, for the first time, in the four-body final states $K^+π^-π^+π^-$, $π^+ K^-π^+π^-$ and $π^+π^-π^+π^-$. The analysis uses a sample of neutral…
        ▽ More",https://arxiv.org/abs/1906.08297
